subj_id	date	computer	experimenter	part	trial_ix	cue_present	cue_type	cue_loc	cue_pos_x	cue_pos_y	mask_flicker	target_present	target_loc	target_pos_x	target_pos_y	target_opacity	target_duration	rt	key	response	is_correct
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	65	1	sound	left			False	1	left	-199.669380621	-19.5288077409	0.6	0.083	287.163462344	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	66	1	sound	left			False	1	left	-195.111325802	-1.79241692357	0.6	0.083	269.896502752	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	67	0					False	1	left	-201.198935735	-3.18709926286	0.6	0.083	372.925853415	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	68	0					False	1	left	-219.321322305	-14.2117064087	0.6	0.083	323.46685206	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	69	1	sound	right			False	1	right	193.816231624	13.6190750333	0.6	0.083	284.83133296	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	70	1	sound	left			False	1	left	-213.860460669	-7.41658147069	0.6	0.083	326.510590894	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	71	0					False	1	left	-212.53686242	-20.1238886303	0.6	0.083	318.234085586	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	72	1	sound	right			False	1	right	186.382623304	21.8413050371	0.6	0.083	285.713728692	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	73	1	sound	right			False	1	right	189.521890114	-19.9291047644	0.6	0.083	307.659374201	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	74	1	sound	left			False	1	left	-194.086215177	-17.7595818643	0.6	0.083	296.988351824	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	75	1	sound	left			False	0					0.083	1079.61525519		nogo	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	76	1	frame	right	200	0	False	1	right	200.827390486	-3.77064778233	0.6	0.083	358.782176932	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	77	1	frame	left	-200	0	False	1	left	-212.809028127	6.64608818302	0.6	0.083	336.285960162	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	78	0					False	1	right	186.711345912	12.3229138982	0.6	0.083	476.312763465	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	79	1	frame	left	-200	0	False	1	left	-209.325576683	0.642100997924	0.6	0.083	355.606644138	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	80	1	sound	left			False	1	left	-213.516806721	-14.1811444967	0.6	0.083	336.039528833	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	81	1	frame	left	-200	0	False	1	left	-208.210833393	5.21193691379	0.6	0.083	311.405754241	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	82	1	frame	left	-200	0	False	1	left	-218.04068629	-16.1006083096	0.6	0.083	340.297877759	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	83	1	sound	right			False	1	right	177.782792697	-5.62115953402	0.6	0.083	286.121198194	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	84	1	sound	left			False	1	left	-180.448347442	11.6143828363	0.6	0.083	282.822839654	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	85	0					False	1	right	201.022055633	5.65142371582	0.6	0.083	347.387847418	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	86	1	frame	right	200	0	False	1	right	191.483679122	15.9975549161	0.6	0.083	169.252310967	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	87	1	frame	right	200	0	False	1	right	198.54595077	-1.00459862867	0.6	0.083	302.567759849	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	88	1	frame	right	200	0	False	1	right	217.632687346	-10.3346909154	0.6	0.083	336.288299703	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	89	0					False	1	right	184.433133633	-12.4028267562	0.6	0.083	336.275042311	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	90	0					False	1	right	178.624427099	-18.6778465416	0.6	0.083	351.290586608	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	91	0					False	1	left	-208.957375493	19.6344794699	0.6	0.083	385.895081869	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	92	1	sound	left			False	1	left	-195.944524571	-15.6934511389	0.6	0.083	338.359960529	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	93	1	sound	right			False	1	right	201.409709208	17.1531721382	0.6	0.083	335.844567337	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	94	1	sound	left			False	0					0.083	1085.80099345		nogo	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	95	1	sound	left			False	1	left	-203.820497096	17.8250356697	0.6	0.083	371.593096643	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	96	1	sound	right			False	1	right	186.962924713	7.74583874409	0.6	0.083	313.291031882	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	97	1	frame	right	200	0	False	1	right	181.748882966	-0.794944194909	0.6	0.083	369.08511199	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	98	1	sound	right			False	1	right	214.263814732	9.56152537208	0.6	0.083	335.81883242	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	99	0					False	1	right	217.625775952	-20.3226364933	0.6	0.083	323.446186143	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	100	1	sound	right			False	1	right	221.804202317	4.20681832887	0.6	0.083	280.50786689	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	101	1	sound	left			False	1	left	-221.382794586	-8.72288705726	0.6	0.083	269.543622446	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	102	1	frame	right	200	0	False	1	right	180.633285796	-18.8415545706	0.6	0.083	302.887106765	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	103	1	sound	right			False	1	right	216.047473978	-19.7660349485	0.6	0.083	314.540735068	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	104	1	sound	right			False	1	right	204.131303003	8.24693205493	0.6	0.083	322.05884016	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	105	0					False	1	right	214.232203056	20.5001505414	0.6	0.083	327.369981154	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	106	1	sound	left			False	1	left	-214.953794077	-8.52050310997	0.6	0.083	284.808717435	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	107	1	sound	right			False	1	right	191.042756464	-15.7816573376	0.6	0.083	253.690133657	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	108	1	sound	left			False	1	left	-206.89058962	-10.5662885764	0.6	0.083	277.439562924	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	109	0					False	0					0.083	1080.69144264		nogo	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	110	0					False	1	left	-211.311021604	-3.51108287006	0.6	0.083	397.468386014	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	111	0					False	1	right	214.683622551	-13.7354311453	0.6	0.083	278.633897018	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	112	0					False	1	right	186.986080874	-6.1200931148	0.6	0.083	323.627110411	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	113	1	frame	left	-200	0	False	1	left	-186.539521721	-16.3534776421	0.6	0.083	321.754700228	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	114	1	frame	left	-200	0	False	1	left	-192.016249999	-8.33608542516	0.6	0.083	289.016766299	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	115	1	frame	left	-200	0	False	1	left	-220.436596624	-6.61198779674	0.6	0.083	402.585345364	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	116	1	sound	right			False	1	right	218.943852927	-13.5134071423	0.6	0.083	310.003591178	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	117	1	frame	left	-200	0	False	1	left	-197.224663696	13.5067705637	0.6	0.083	302.782217492	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	118	1	sound	left			False	1	left	-188.942688829	-3.92177478153	0.6	0.083	445.331042676	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	119	0					False	1	right	211.335119057	7.78429115122	0.6	0.083	252.678673438	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	120	0					False	1	left	-221.800911656	20.737932155	0.6	0.083	266.541215446	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	121	0					False	1	left	-185.607831903	13.4533410229	0.6	0.083	362.868959754	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	122	0					False	1	left	-203.239701397	-6.91408576213	0.6	0.083	369.155688066	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	123	0					False	1	left	-208.200805059	-4.90444591695	0.6	0.083	303.094545787	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	124	1	frame	left	-200	0	False	1	left	-223.682331444	3.45881852051	0.6	0.083	310.360760646	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	125	0					False	0					0.083	1093.67041916		nogo	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	126	0					False	1	left	-207.594291067	13.7224711803	0.6	0.083	381.43709235	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	127	0					False	1	left	-222.672656628	16.5184812889	0.6	0.083	353.016385736	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	128	0					False	1	right	185.605638157	3.10216102377	0.6	0.083	327.933029956	 	go	1	0.1
